,Model Type,MSE Score,MSE Raw Score,RMSE Score,Data Correlation,CV round,File
1867,LightGBM,3.7541555117679717e+77,3072437288.9294615,6.1271163786629445e+38,-0.14954884695563359,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1868,XGBoost,8.757900764945674e+186,1.8640577693261434e+99,2.9593750632431966e+93,0.04056480046974289,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1869,LightGBM,8.757900764945674e+186,2.6821690155810467e+76,2.9593750632431966e+93,0.04056480046974289,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1870,XGBoost,1.1288110352290145e+242,7.7242610969972305e+34,1.0624551921041256e+121,0.04784013181073333,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1871,LightGBM,1.1288110352290145e+242,1.175206635526246e+34,1.0624551921041256e+121,0.04784013181073333,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1872,XGBoost,4.4413505928471e+31,2.648482213089174e+27,6664345874012768.0,-0.013092419717916758,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1873,LightGBM,4.399059155432145e+31,3.866254913400451e+26,6632540354518882.0,-0.013092419717916758,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1874,XGBoost,2.4178204270098014e+59,2.4178204270079214e+59,4.917133745394568e+29,-0.23402515806069918,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1875,LightGBM,1.3677978235175988e+234,1.3677978235175988e+234,1.1695288895609201e+117,-0.23402515806069918,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1876,XGBoost,4.217858666307223e+147,4.217858666307223e+147,6.494504343140609e+73,0.9622317206547427,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1877,LightGBM,4.897134887722953e+228,4.897134887722953e+228,2.2129471045921891e+114,0.9622317206547427,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1878,XGBoost,3.630919608529015e+46,3.6309195899821263e+46,1.9054972076938382e+23,-0.999549049290185,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1879,LightGBM,6.443855613578841e+277,6.443855613578841e+277,8.027362962753609e+138,-0.999549049290185,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1880,XGBoost,4.314093744924249e+233,4.314093744924249e+233,6.568176112836994e+116,-0.999991475048378,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1881,LightGBM,3.5259455617838235e+45,3.6440125768822987e+45,5.937967296797637e+22,-0.999991475048378,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1882,XGBoost,6008401424.712249,2270936542050.9688,77513.87891669625,-0.9990237413373015,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1883,LightGBM,7446364692.049744,2316713183444.135,86292.32116503613,-0.9990237413373015,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1884,XGBoost,868347492.1585221,1666048986073.4077,29467.736461399985,-0.9996208393680128,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1885,LightGBM,6379718521.309198,1802929569869.5732,79873.14017433644,-0.9996208393680128,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1886,XGBoost,3031162229.5920787,1563056156227.775,55055.99176830873,-0.9757461016075174,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1887,LightGBM,2865908521.375623,1544264923307.3123,53534.18086956802,-0.9757461016075174,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1888,XGBoost,19779356132.63898,1565909890495.3645,140639.09887594907,-0.3988134551235958,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1889,LightGBM,9123108567.927729,1700608282293.8098,95514.96515168567,-0.3988134551235958,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1890,XGBoost,206649898123.12152,2924050921790.1494,454587.61325306864,0.9986370542514329,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1891,LightGBM,72107331653.10408,1942777655489.3538,268528.08354640316,0.9986370542514329,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1892,XGBoost,105877.09990022119,191695.23724283822,325.3876148537636,-0.23378728545069813,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1893,LightGBM,354766.28638363176,474029.1537567496,595.6226039898349,-0.23378728545069813,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1894,XGBoost,2964508.8596971096,236273.5636548702,1721.7749155151232,0.34216736627619354,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1895,LightGBM,1435721.5544092073,608847.5899426095,1198.2159882129797,0.34216736627619354,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1896,XGBoost,53024.987506425925,32150.341221992152,230.27155166547587,0.8742851167701353,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1897,LightGBM,171693.5517730539,416333.79712216306,414.35920621250096,0.8742851167701353,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1898,XGBoost,119799.7462843464,274650.8877900305,346.1209994847848,-0.25476846285237514,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1899,LightGBM,293225.2624390113,491049.45643963525,541.5027815616567,-0.25476846285237514,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1900,XGBoost,5027090.412573646,295156.74324351456,2242.117394913488,0.49607062638669586,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1901,LightGBM,4648452.14182096,280649.9118934732,2156.026934391349,0.49607062638669586,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1902,XGBoost,332877.21450588555,11650836.773131946,576.9551234765886,-0.9208141039683009,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1903,LightGBM,1687264.142931428,17160459.371065777,1298.9473210763506,-0.9208141039683009,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1904,XGBoost,100126.47594739978,6804573.037436562,316.4276788579024,-0.9727606973534794,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1905,LightGBM,519615.9656669594,9369868.469635913,720.8439260110051,-0.9727606973534794,2,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1906,XGBoost,107782117.00950809,5155013.447843878,10381.81665266287,0.6998521655774532,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1907,LightGBM,91738923.25434205,7645553.561121938,9578.043811464951,0.6998521655774532,3,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1908,XGBoost,27469512.143098135,28222212.528372657,5241.136531621566,0.9554236176082573,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1909,LightGBM,50400915.16371344,11912691.620417127,7099.3601939691325,0.9554236176082573,4,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1910,XGBoost,29894234.151401088,47789155.48819433,5467.561993375209,0.9997732348060653,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1911,LightGBM,8340587.316257548,203198209.68291205,2888.007499342332,0.9997732348060653,5,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1912,XGBoost,5125736563837.564,214521196173.65738,2264008.958426968,-0.7247792273710868,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
1913,LightGBM,3141235014958.111,782354171231.5852,1772352.9600387476,-0.7247792273710868,1,transformed_data__impute__scale__pct_change__sliding_window_log.csv
